iter,ce_loss,ds_loss,final_loss
10,0.338025,0.297626,1.268651
20,0.217338,0.100363,0.854098
30,0.194563,0.137873,0.862966
40,0.215788,0.255190,1.009483
50,0.074464,0.026985,0.576441
60,0.178430,0.120568,0.647066
70,0.311378,0.214540,0.947197
80,0.104631,0.073738,0.515753
90,0.118864,0.058565,0.540763
100,0.092162,0.064019,0.446395
110,0.046751,0.034420,0.436507
120,0.077854,0.051288,0.396238
130,0.061987,0.041698,0.375340
140,0.105891,0.074152,0.464669
150,0.086404,0.056622,0.531220
160,0.030260,0.023152,0.252047
170,0.048699,0.035489,0.396999
180,0.062626,0.044000,0.315481
190,0.066924,0.050320,0.341089
200,0.094850,0.056688,0.403150
210,0.089074,0.062507,0.445345
220,0.046813,0.031666,0.294340
230,0.058528,0.046725,0.306826
240,0.057882,0.037753,0.325969
250,0.077388,0.052725,0.364181
260,0.078930,0.059592,0.331467
270,0.084763,0.059083,0.362089
280,0.046149,0.035202,0.263560
290,0.052205,0.043026,0.238263
300,0.076256,0.058680,0.313036
310,0.073996,0.057895,0.339453
320,0.051322,0.037896,0.306189
330,0.032123,0.020407,0.249687
340,0.070605,0.053232,0.311116
350,0.078355,0.064358,0.400958
360,0.021584,0.017003,0.188649
370,0.011444,0.009746,0.242324
380,0.060175,0.043514,0.273361
390,0.083487,0.064267,0.326794
400,0.094087,0.069539,0.389089
410,0.066279,0.056862,0.299392
420,0.037482,0.028802,0.254540
430,0.300604,0.205222,0.756777
440,0.049860,0.039783,0.277658
450,0.043648,0.030741,0.265262
460,0.064673,0.048717,0.333256
470,0.082464,0.056069,0.356072
480,0.070923,0.055040,0.311575
490,0.029482,0.022507,0.139429
500,0.027243,0.019148,0.230279
510,0.037746,0.031561,0.224310
520,0.063735,0.047586,0.367106
530,0.030694,0.025297,0.231926
540,0.048783,0.034898,0.224981
550,0.034351,0.028344,0.247316
560,0.086535,0.064534,0.325908
570,0.053960,0.042008,0.247553
580,0.018223,0.015769,0.186617
590,0.057890,0.041257,0.252646
600,0.028810,0.021774,0.233533
610,0.047801,0.035337,0.310778
620,0.019275,0.013821,0.184064
630,0.063410,0.046100,0.269679
640,0.014703,0.011357,0.160340
650,0.035166,0.027177,0.189349
660,0.026885,0.021028,0.208018
670,0.026744,0.015525,0.187153
680,0.041182,0.029891,0.229717
690,0.043675,0.034885,0.259041
700,0.075009,0.056917,0.292498
710,0.045427,0.034265,0.239182
720,0.035166,0.026798,0.234108
730,0.279429,0.180721,0.759400
740,0.045279,0.037950,0.238245
750,0.064826,0.049906,0.269079
760,0.090965,0.068146,0.323071
770,0.071905,0.054351,0.293471
780,0.059888,0.050207,0.272421
790,0.015031,0.011279,0.162045
800,0.035884,0.026319,0.209004
810,0.043990,0.032255,0.243316
820,0.039921,0.030368,0.210683
830,0.022404,0.017036,0.299010
840,0.075672,0.058819,0.306476
850,0.092265,0.074751,0.341170
860,0.033770,0.024471,0.274792
870,0.075059,0.056234,0.291970
880,0.032468,0.023866,0.194365
890,0.094622,0.074828,0.349598
900,0.079191,0.063904,0.305367
910,0.043097,0.030356,0.251528
920,0.023157,0.016848,0.177038
930,0.057219,0.042290,0.260083
940,0.062422,0.046395,0.302267
950,0.014280,0.010827,0.212529
960,0.019399,0.014617,0.154909
970,0.052016,0.039298,0.243810
980,0.049961,0.034696,0.244445
990,0.029322,0.023122,0.190003
1000,0.052870,0.039357,0.254562
1010,0.074656,0.057340,0.301526
1020,0.023832,0.018263,0.170593
1030,0.097298,0.073599,0.344802
1040,0.067496,0.053576,0.271206
1050,0.060927,0.047209,0.250619
1060,0.066655,0.048081,0.266963
1070,0.022266,0.017166,0.216706
1080,0.038116,0.027357,0.195344
1090,0.009636,0.007433,0.165247
1100,0.029879,0.021982,0.318071
1110,0.018971,0.014085,0.150756
1120,0.054305,0.040305,0.244559
1130,0.061011,0.045096,0.269016
1140,0.043763,0.033821,0.269425
1150,0.037579,0.030633,0.235378
1160,0.020725,0.016595,0.297973
1170,0.011757,0.009330,0.146249
1180,0.040464,0.028123,0.271568
1190,0.032216,0.028061,0.197020
1200,0.027437,0.021869,0.178848
1210,0.042424,0.029219,0.212721
1220,0.061925,0.047452,0.264559
1230,0.034538,0.025577,0.192155
1240,0.088469,0.064467,0.352943
1250,0.055913,0.041975,0.234260
1260,0.044162,0.034374,0.222482
1270,0.055616,0.044533,0.245680
1280,0.036861,0.026326,0.211328
1290,0.070503,0.056242,0.272190
1300,0.035068,0.028125,0.248365
1310,0.080602,0.059769,0.314715
1320,0.063894,0.048899,0.273784
1330,0.047275,0.034833,0.209889
1340,0.030846,0.022515,0.204031
1350,0.048615,0.038007,0.220172
1360,0.053734,0.041738,0.189502
1370,0.067042,0.049706,0.283537
1380,0.034036,0.024626,0.201060
1390,0.080835,0.054985,0.304379
1400,0.061809,0.047921,0.280832
1410,0.032671,0.024715,0.222757
1420,0.019247,0.014398,0.159665
1430,0.023854,0.017371,0.192592
1440,0.017075,0.014783,0.233564
1450,0.026736,0.020141,0.164785
1460,0.031466,0.022524,0.133030
1470,0.031925,0.025154,0.180344
1480,0.044197,0.034235,0.223134
1490,0.045594,0.034575,0.218507
1500,0.117454,0.092668,0.386675
1510,0.056468,0.039228,0.276641
1520,0.006586,0.005648,0.047800
1530,0.029207,0.021824,0.164795
1540,0.038090,0.028702,0.187732
1550,0.044484,0.035774,0.238877
1560,0.048981,0.036778,0.212565
1570,0.054029,0.037436,0.274573
1580,0.009245,0.006431,0.205536
1590,0.010194,0.007514,0.199129
1600,0.001033,0.000687,0.234716
1610,0.035126,0.026365,0.185592
1620,0.034421,0.027352,0.189400
1630,0.056327,0.042950,0.259415
1640,0.020978,0.016956,0.267360
1650,0.046354,0.035388,0.211951
1660,0.042554,0.032587,0.189489
1670,0.027304,0.019894,0.203166
1680,0.002206,0.001682,0.114468
1690,0.029300,0.021324,0.210960
1700,0.016824,0.013254,0.151871
1710,0.038573,0.028799,0.193528
1720,0.021169,0.015944,0.101698
1730,0.080000,0.061184,0.288308
1740,0.041187,0.031267,0.170949
1750,0.037287,0.030728,0.196519
1760,0.079052,0.057050,0.263740
1770,0.048843,0.037337,0.247480
1780,0.021563,0.015932,0.179080
1790,0.020870,0.015395,0.151566
1800,0.000036,0.000043,0.000138
1810,0.036579,0.028309,0.184501
1820,0.064977,0.050644,0.272121
1830,0.030804,0.023662,0.175951
1840,0.028080,0.020877,0.170882
1850,0.007213,0.005977,0.065356
1860,0.011496,0.008928,0.105745
1870,0.058324,0.044721,0.257237
1880,0.035473,0.026424,0.183706
1890,0.040564,0.030825,0.197753
1900,0.029174,0.021240,0.231276
1910,0.017246,0.012961,0.109114
1920,0.056594,0.042059,0.225110
1930,0.057058,0.043994,0.247365
1940,0.004537,0.003464,0.133791
1950,0.042016,0.032543,0.221607
1960,0.035070,0.026079,0.197066
1970,0.026216,0.019162,0.148598
1980,0.032033,0.025146,0.180129
1990,0.050436,0.038053,0.234346
2000,0.039202,0.029562,0.203996
2010,0.031383,0.023364,0.181171
2020,0.012386,0.009422,0.124053
2030,0.073180,0.055182,0.273689
2040,0.018155,0.013966,0.109380
2050,0.007105,0.005379,0.101948
2060,0.030130,0.019946,0.228410
