iter,ce_loss,ds_loss,final_loss
10,0.649745,0.426581,1.801638
20,0.047407,0.120640,0.806462
30,0.403094,0.234156,1.343190
40,0.351695,0.254123,1.256011
50,0.111226,0.069323,0.809716
60,0.275694,0.226932,1.136749
70,0.781422,0.449095,1.975155
80,0.290079,0.234792,1.154071
90,0.164980,0.159128,0.803765
100,0.169780,0.146828,0.853655
110,0.128453,0.108287,0.706878
120,0.214265,0.190166,0.920409
130,0.142172,0.125397,0.743605
140,0.183382,0.144053,0.819974
150,0.106230,0.119164,0.645743
160,0.126200,0.127197,0.696699
170,0.068465,0.064227,0.674053
180,0.123819,0.123585,0.640148
190,0.071640,0.072056,0.493729
200,0.176269,0.135491,0.707012
210,0.083698,0.091319,0.538901
220,0.051340,0.061417,0.445231
230,0.208846,0.155801,0.840600
240,0.139850,0.119512,0.646423
250,0.135514,0.119991,0.620067
260,0.089615,0.074253,0.484625
270,0.126627,0.116820,0.595851
280,0.080254,0.058245,0.536209
290,0.172356,0.150213,0.752409
300,0.130253,0.091606,0.567162
310,0.064616,0.052841,0.459606
320,0.068607,0.050398,0.487789
330,0.082566,0.059325,0.480647
340,0.112564,0.067644,0.569985
350,0.081847,0.059076,0.469788
360,0.079465,0.060871,0.461237
370,0.136197,0.081456,0.663184
380,0.128443,0.088497,0.523294
390,0.253337,0.174276,0.831839
400,0.120646,0.080384,0.523339
410,0.196418,0.136760,0.699948
420,0.077911,0.052040,0.416384
430,0.118616,0.087456,0.516485
440,0.101820,0.073501,0.466100
450,0.154844,0.100497,0.626561
460,0.070073,0.053203,0.398255
470,0.096796,0.070632,0.439691
480,0.122639,0.086054,0.490094
490,0.052548,0.034614,0.341748
500,0.114276,0.062735,0.653144
510,0.061499,0.043480,0.348877
520,0.095754,0.072915,0.577664
530,0.060177,0.047489,0.382106
540,0.077266,0.051892,0.381160
550,0.064610,0.046441,0.338810
560,0.217733,0.156062,0.720824
570,0.138699,0.102815,0.536429
580,0.092744,0.064731,0.466060
590,0.065482,0.046880,0.368918
600,0.053156,0.038193,0.346591
610,0.083985,0.053531,0.436115
620,0.114072,0.074265,0.465962
630,0.116011,0.085186,0.470235
640,0.052551,0.047721,0.409243
650,0.100402,0.069288,0.420575
660,0.056495,0.038241,0.387335
670,0.032534,0.026434,0.286320
680,0.097094,0.072794,0.429405
690,0.091080,0.064105,0.563729
700,0.215409,0.168508,0.693136
710,0.088976,0.064249,0.395723
720,0.058449,0.042229,0.377301
730,0.128242,0.104448,0.489413
740,0.070182,0.052682,0.334487
750,0.119026,0.089811,0.449377
760,0.159194,0.128609,0.553519
770,0.122952,0.083923,0.494458
780,0.028780,0.025243,0.324114
790,0.034049,0.025835,0.328008
800,0.032612,0.025480,0.401664
810,0.069980,0.052228,0.363160
820,0.084081,0.058815,0.418842
830,0.043541,0.030768,0.397447
840,0.089377,0.067082,0.377611
850,0.198155,0.138801,0.696507
860,0.039026,0.028330,0.336810
870,0.139131,0.105838,0.504302
880,0.079303,0.055417,0.318339
890,0.089419,0.067510,0.391832
900,0.129606,0.106351,0.506952
910,0.047170,0.032931,0.301917
920,0.021203,0.015949,0.269430
