iter,ce_loss,ds_loss,final_loss
10,0.618443,0.361660,1.708194
20,0.135583,0.165838,0.887469
30,0.290048,0.210378,1.154102
40,0.183567,0.196707,0.921557
50,0.075816,0.058846,0.696318
60,0.209104,0.163484,0.849274
70,0.531229,0.377941,1.560113
80,0.140717,0.115126,0.704170
90,0.107543,0.081143,0.580075
100,0.136001,0.097526,0.651512
110,0.070156,0.054046,0.554574
120,0.137426,0.093047,0.625548
130,0.089055,0.058706,0.495817
140,0.123430,0.095373,0.596763
150,0.086736,0.056605,0.543155
160,0.048403,0.031600,0.342059
170,0.065027,0.048847,0.487981
180,0.081588,0.060170,0.408501
190,0.109240,0.080362,0.514047
200,0.108571,0.084642,0.497362
210,0.102112,0.075786,0.532034
220,0.063660,0.045407,0.393516
230,0.064296,0.050888,0.350412
240,0.070453,0.052345,0.412502
250,0.094226,0.070479,0.439319
260,0.114090,0.091794,0.489328
270,0.092591,0.069511,0.416119
280,0.059052,0.044949,0.357870
290,0.064348,0.047148,0.288891
300,0.099811,0.077412,0.407422
310,0.101588,0.077476,0.452792
320,0.074359,0.054005,0.412031
330,0.032763,0.019677,0.261639
340,0.089741,0.074561,0.417389
350,0.099850,0.072957,0.463173
360,0.036480,0.025735,0.299509
370,0.019086,0.015782,0.340817
380,0.097379,0.066792,0.399297
390,0.112809,0.084865,0.424735
400,0.117478,0.090766,0.500242
410,0.082502,0.062172,0.353907
420,0.046910,0.040531,0.313329
430,0.177159,0.143841,0.608632
440,0.070237,0.053773,0.367469
450,0.052720,0.037553,0.333387
460,0.065962,0.047397,0.348762
470,0.074096,0.058687,0.366939
480,0.076735,0.061904,0.347090
490,0.039480,0.029570,0.192852
500,0.031846,0.020511,0.268103
510,0.067454,0.049988,0.322762
520,0.080452,0.066777,0.520905
530,0.033431,0.028587,0.260850
540,0.052574,0.036911,0.240553
550,0.032273,0.028864,0.253839
560,0.099684,0.075750,0.373199
570,0.062399,0.048929,0.285472
580,0.026466,0.019918,0.232018
590,0.057752,0.043255,0.273334
600,0.031737,0.024480,0.261289
610,0.061310,0.039762,0.348056
620,0.025934,0.019209,0.245962
630,0.077464,0.061829,0.331295
640,0.024990,0.019617,0.230377
650,0.051835,0.037035,0.248829
660,0.028545,0.023737,0.229463
670,0.022049,0.015330,0.184393
680,0.054584,0.040420,0.290575
690,0.148711,0.112551,0.645962
700,0.095521,0.070501,0.351614
710,0.054591,0.039857,0.278108
720,0.044645,0.030557,0.278875
730,0.110488,0.095234,0.419314
740,0.043316,0.033249,0.231254
750,0.062409,0.047068,0.281599
760,0.095732,0.076131,0.346096
770,0.086574,0.064497,0.352436
780,0.072935,0.053826,0.314556
790,0.014310,0.010904,0.163979
800,0.041523,0.032478,0.254589
810,0.047654,0.035748,0.260932
820,0.047416,0.034742,0.245115
830,0.028304,0.021494,0.347900
840,0.085690,0.065640,0.337091
850,0.223382,0.186414,0.719394
860,0.048791,0.034124,0.415680
870,0.086199,0.069481,0.333843
880,0.040755,0.031482,0.236756
890,0.105927,0.080923,0.385408
900,0.086444,0.063939,0.331856
910,0.046083,0.032736,0.274625
920,0.025504,0.018672,0.202343
930,0.057050,0.042963,0.271360
940,0.069154,0.053738,0.331451
950,0.013640,0.010345,0.219592
960,0.022589,0.018041,0.170851
970,0.064469,0.046441,0.294041
980,0.053591,0.035453,0.280000
990,0.030241,0.024657,0.209816
1000,0.053529,0.039016,0.268755
1010,0.081366,0.061774,0.337635
1020,0.027946,0.021944,0.197284
1030,0.120537,0.089837,0.400600
1040,0.073924,0.057729,0.298275
1050,0.066177,0.051453,0.276946
1060,0.071196,0.053148,0.296686
1070,0.022853,0.016122,0.222482
1080,0.039897,0.028529,0.206804
1090,0.014918,0.010544,0.203575
1100,0.031959,0.023670,0.336344
1110,0.019615,0.016081,0.162715
1120,0.056091,0.042255,0.256045
1130,0.066809,0.051206,0.310479
1140,0.052954,0.035942,0.296773
1150,0.055235,0.043519,0.285931
1160,0.019675,0.013158,0.329836
1170,0.016531,0.012265,0.167884
1180,0.040128,0.027712,0.310410
1190,0.041337,0.031450,0.236612
1200,0.031586,0.023538,0.194530
1210,0.036510,0.026744,0.212507
1220,0.078503,0.059653,0.309307
1230,0.035506,0.026247,0.204796
1240,0.095998,0.071097,0.379417
1250,0.064950,0.050275,0.272583
1260,0.050065,0.037696,0.247481
1270,0.071843,0.056863,0.285958
1280,0.051123,0.034914,0.275648
