iter,ce_loss,ds_loss,final_loss
10,0.436663,0.306909,1.442271
20,0.082711,0.059715,0.794762
30,0.295184,0.220190,1.179307
40,0.407171,0.213276,1.253491
50,0.078913,0.111518,0.720258
60,0.230976,0.180753,0.958789
70,0.742064,0.418158,1.889649
80,0.278017,0.205656,1.060683
90,0.168888,0.127223,0.779121
100,0.125044,0.105131,0.674905
110,0.112889,0.091006,0.641178
120,0.161119,0.119663,0.694636
130,0.118825,0.080098,0.568883
140,0.183486,0.109828,0.738930
150,0.089894,0.060228,0.519232
160,0.103115,0.070678,0.510499
170,0.077186,0.053324,0.676685
180,0.120337,0.077688,0.538334
190,0.081919,0.054304,0.500110
200,0.136325,0.092298,0.552316
210,0.058716,0.051633,0.439608
220,0.050667,0.035494,0.355075
230,0.193486,0.127647,0.687757
240,0.118972,0.081149,0.522875
250,0.107745,0.082140,0.490336
260,0.077894,0.054658,0.397604
270,0.127459,0.089586,0.532227
280,0.059080,0.042013,0.413481
290,0.155901,0.106214,0.589346
300,0.111560,0.069753,0.450386
310,0.051985,0.042197,0.354124
320,0.057672,0.039538,0.408608
330,0.065023,0.046866,0.387186
340,0.077329,0.054393,0.456273
350,0.055601,0.043637,0.360144
360,0.065972,0.049564,0.405891
370,0.123522,0.078875,0.626858
380,0.119869,0.085194,0.489144
390,0.189073,0.148257,0.657227
400,0.102633,0.070480,0.458438
410,0.127755,0.098284,0.491281
420,0.057427,0.043083,0.369026
430,0.112239,0.078661,0.460696
440,0.094729,0.067380,0.422638
450,0.120370,0.090152,0.520829
460,0.061011,0.048039,0.359923
470,0.106170,0.073800,0.434855
480,0.101367,0.075588,0.436829
490,0.031884,0.017006,0.223810
500,0.121189,0.077843,0.678761
510,0.065717,0.046359,0.346690
520,0.084542,0.059488,0.533416
530,0.042776,0.034204,0.295522
540,0.058966,0.044433,0.326387
550,0.054559,0.040839,0.302256
560,0.151654,0.122050,0.547941
570,0.113692,0.087728,0.450568
580,0.084673,0.062944,0.470409
590,0.063094,0.041115,0.333391
600,0.050196,0.036429,0.307135
610,0.059556,0.047617,0.354709
620,0.079634,0.060677,0.370770
630,0.099840,0.072795,0.403551
640,0.026463,0.020029,0.242641
650,0.091988,0.061568,0.376252
660,0.049645,0.036013,0.345188
670,0.030368,0.022670,0.260463
680,0.086290,0.062621,0.380878
690,0.066012,0.044698,0.471355
700,0.151201,0.116436,0.504618
710,0.078905,0.055563,0.346468
720,0.054683,0.038091,0.336554
730,0.095430,0.071159,0.362327
740,0.069667,0.047315,0.322949
750,0.091122,0.066387,0.360132
760,0.140476,0.104171,0.473428
770,0.101442,0.071839,0.426784
780,0.020517,0.016710,0.252268
790,0.024117,0.019477,0.266008
800,0.022925,0.017161,0.301400
810,0.074717,0.051430,0.352073
820,0.071677,0.050795,0.363877
830,0.054890,0.038228,0.422093
840,0.077662,0.057588,0.331118
850,0.239139,0.169232,0.763749
860,0.024663,0.021177,0.276534
870,0.108717,0.084416,0.414242
880,0.069434,0.050915,0.285276
890,0.082591,0.060571,0.366358
900,0.107316,0.077026,0.399332
910,0.039881,0.028803,0.270273
920,0.021489,0.016535,0.256259
930,0.076235,0.056565,0.332427
940,0.037219,0.027194,0.265416
950,0.022683,0.016261,0.267514
960,0.027891,0.019059,0.267191
970,0.068697,0.053187,0.326914
980,0.073399,0.053703,0.319544
990,0.098666,0.074522,0.418706
1000,0.037296,0.027559,0.262380
1010,0.084653,0.065031,0.365883
1020,0.100364,0.070988,0.416152
1030,0.115897,0.088423,0.416063
1040,0.126302,0.095285,0.457192
1050,0.066239,0.049249,0.310329
1060,0.022918,0.014884,0.301354
1070,0.016687,0.012221,0.205660
1080,0.058834,0.041443,0.279097
1090,0.101462,0.071244,0.431606
1100,0.025947,0.018023,0.304501
1110,0.033602,0.023759,0.242855
1120,0.115578,0.082528,0.502626
1130,0.028982,0.022873,0.220304
1140,0.069435,0.048698,0.322065
1150,0.022116,0.019077,0.269020
1160,0.036669,0.028382,0.310366
1170,0.033748,0.025753,0.286420
1180,0.033914,0.025061,0.301318
1190,0.078291,0.057079,0.351487
1200,0.022589,0.017490,0.199454
1210,0.039694,0.028330,0.225260
1220,0.070884,0.054444,0.333160
1230,0.065605,0.046940,0.281651
1240,0.049083,0.037868,0.281975
1250,0.067458,0.049530,0.301196
1260,0.053704,0.039115,0.266260
1270,0.013845,0.010315,0.438625
1280,0.049556,0.035570,0.261836
1290,0.058835,0.041228,0.285421
1300,0.013503,0.010707,0.195918
1310,0.041056,0.027702,0.225798
1320,0.101369,0.083258,0.422350
1330,0.051984,0.040521,0.250540
1340,0.048618,0.034157,0.281842
1350,0.059767,0.044535,0.279178
1360,0.043859,0.032260,0.268064
1370,0.044761,0.032001,0.264006
1380,0.049578,0.037981,0.271130
1390,0.081312,0.059106,0.328725
1400,0.041135,0.030744,0.244810
1410,0.113367,0.079029,0.453446
1420,0.023609,0.018473,0.237387
1430,0.021613,0.015388,0.246475
1440,0.027177,0.021197,0.420601
1450,0.051093,0.036930,0.253205
