iter,ce_loss,ds_loss,final_loss
10,0.697970,0.404181,1.834958
20,0.446797,0.361265,1.480405
30,0.458601,0.345219,1.407711
40,0.402030,0.305336,1.269193
50,0.391098,0.268070,1.210298
60,0.453897,0.327476,1.266429
70,0.347025,0.246047,1.136394
80,0.310280,0.221846,1.051669
90,0.393737,0.267783,1.158140
100,0.310384,0.272289,1.151659
110,0.305671,0.211688,0.934413
120,0.342106,0.263020,1.129961
130,0.375597,0.307596,1.190337
140,0.257952,0.200614,1.022066
150,0.246345,0.188677,0.904842
160,0.221138,0.178433,0.758444
170,0.474207,0.354316,1.303146
180,0.228366,0.156771,0.812471
190,0.274636,0.205660,0.858534
200,0.270292,0.184709,0.907263
210,0.235024,0.155990,0.725016
220,0.243823,0.183529,0.857833
230,0.710556,0.500389,1.680773
240,0.196274,0.151379,0.618550
250,0.224908,0.166065,0.785732
260,0.409399,0.333760,1.281613
270,0.442352,0.336325,1.262974
280,0.293980,0.240163,1.110661
290,0.218915,0.161244,0.797051
300,0.400380,0.257736,1.031195
310,0.465469,0.335491,1.264139
320,0.241511,0.174326,0.821300
330,0.182397,0.112824,0.566693
340,0.241600,0.183887,0.792815
350,0.143050,0.120959,0.477464
360,0.379172,0.306873,1.140056
370,0.188187,0.159911,0.677300
380,0.215292,0.165872,0.662683
390,0.199855,0.145522,0.605708
400,0.240992,0.186518,0.910705
410,0.376177,0.274241,1.050067
420,0.431608,0.287038,1.168676
430,0.412193,0.298889,1.238214
440,0.175110,0.133808,0.627481
450,0.363140,0.270770,1.037034
460,0.199470,0.163508,0.796302
470,0.278244,0.218176,0.867818
480,0.185953,0.132544,0.675291
490,0.236686,0.188698,0.732550
500,0.186733,0.142699,0.607523
510,0.246098,0.179805,0.920203
520,0.189809,0.131547,0.599523
530,0.149375,0.125913,0.627127
540,0.231708,0.194909,0.852936
550,0.203558,0.139977,0.625047
560,0.212369,0.166822,0.747993
570,0.169344,0.122712,0.671397
580,0.233055,0.177581,0.782234
590,0.260254,0.206889,0.807197
600,0.381376,0.291154,1.111270
610,0.153744,0.130127,0.629493
620,0.281146,0.233020,0.875274
630,0.147322,0.121452,0.597743
640,0.250249,0.189917,0.820260
650,0.291868,0.228362,1.021238
660,0.325215,0.217457,0.975579
670,0.200112,0.161414,0.701013
680,0.252093,0.192751,0.796690
690,0.171622,0.123279,0.686715
700,0.137688,0.107776,0.518598
710,0.271321,0.195154,0.826224
720,0.245489,0.198947,0.784176
730,0.102190,0.086586,0.474805
740,0.255298,0.203988,0.825865
750,0.203329,0.156302,0.665605
760,0.332532,0.244087,0.905860
770,0.169629,0.143277,0.688883
780,0.194974,0.162724,0.659173
790,0.089813,0.072742,0.352725
800,0.145916,0.107096,0.518275
810,0.214165,0.167036,0.706501
820,0.178688,0.136963,0.583179
830,0.305668,0.215734,0.884973
840,0.266418,0.200632,0.886980
850,0.157675,0.131515,0.520166
860,0.212670,0.165176,0.742424
870,0.202639,0.135733,0.815132
880,0.166746,0.118552,0.546678
890,0.199605,0.151670,0.734781
900,0.142992,0.122128,0.527042
910,0.094705,0.081000,0.316145
920,0.121097,0.084206,0.405139
930,0.144285,0.108700,0.468894
940,0.140786,0.100890,0.474224
950,0.165023,0.124812,0.488895
960,0.220553,0.156846,0.657341
970,0.163952,0.125924,0.534701
980,0.236543,0.179625,0.812197
990,0.100175,0.080193,0.376854
1000,0.203423,0.152340,0.639109
1010,0.080310,0.053870,0.314776
1020,0.336701,0.235397,0.998062
1030,0.172129,0.133323,0.543584
1040,0.546722,0.395481,1.403327
1050,0.151259,0.105626,0.525108
1060,0.278301,0.241962,0.814089
1070,0.247173,0.191784,0.791748
1080,0.113563,0.089512,0.387350
1090,0.110731,0.082520,0.365661
1100,0.111532,0.085887,0.419018
1110,0.193090,0.147221,0.689681
1120,0.120886,0.085612,0.455210
1130,0.267740,0.200258,0.810664
1140,0.225811,0.171488,0.762745
1150,0.141754,0.097027,0.633735
1160,0.122282,0.094312,0.475330
1170,0.122550,0.093125,0.433165
1180,0.182417,0.139244,0.608871
1190,0.189142,0.146909,0.648057
1200,0.242925,0.205240,0.858595
1210,0.153630,0.111868,0.559771
1220,0.383377,0.256568,1.005913
1230,0.241719,0.191592,0.781840
1240,0.408160,0.287420,1.053588
1250,0.164271,0.127512,0.627550
1260,0.223279,0.174466,0.732745
1270,0.420936,0.338358,1.192676
1280,0.163434,0.121271,0.551698
1290,0.193009,0.160867,0.745019
1300,0.197723,0.140593,0.641254
1310,0.184981,0.135021,0.610435
1320,0.311909,0.254893,0.965496
1330,0.146660,0.109187,0.467150
1340,0.151133,0.112342,0.559974
1350,0.149057,0.112871,0.627973
1360,0.171025,0.142537,0.682022
1370,0.135645,0.098671,0.531694
1380,0.281391,0.220733,0.793400
1390,0.107360,0.098719,0.377802
1400,0.215421,0.156464,0.670750
1410,0.153086,0.126941,0.558579
1420,0.223186,0.174368,0.797203
1430,0.294895,0.197401,0.826156
1440,0.054292,0.045492,0.193504
1450,0.178446,0.134068,0.559092
1460,0.283665,0.241250,0.917259
1470,0.156181,0.109271,0.502400
1480,0.274480,0.200756,0.834367
1490,0.176373,0.136021,0.572165
1500,0.201601,0.177821,0.607234
1510,0.113524,0.100778,0.538971
1520,0.179095,0.130081,0.608452
1530,0.261335,0.194503,0.712971
1540,0.375153,0.283941,1.049836
1550,0.178608,0.133301,0.610772
1560,0.365276,0.293493,1.000434
1570,0.205426,0.173327,0.707663
1580,0.131855,0.094305,0.550934
1590,0.096725,0.073676,0.372581
1600,0.248251,0.216478,0.698113
1610,0.084732,0.076457,0.307956
1620,0.166320,0.125554,0.580586
1630,0.273724,0.224870,0.806906
1640,0.225004,0.180384,0.834913
1650,0.188731,0.155152,0.564001
1660,0.106766,0.082407,0.376313
1670,0.158974,0.123400,0.539421
1680,0.158855,0.122106,0.628228
1690,0.159385,0.129123,0.558674
1700,0.377632,0.290581,1.044850
1710,0.265335,0.183974,0.863659
1720,0.097527,0.077454,0.384727
1730,0.274241,0.191880,0.713583
1740,0.311249,0.228456,0.916429
1750,0.122187,0.100328,0.402774
1760,0.123943,0.103336,0.413144
1770,0.131059,0.101516,0.487441
1780,0.073015,0.061148,0.290282
1790,0.096570,0.075822,0.323299
1800,0.292837,0.211652,0.839811
1810,0.219735,0.168981,0.657718
1820,0.088692,0.070543,0.370112
1830,0.200182,0.134375,0.684918
1840,0.138112,0.110103,0.521451
1850,0.135535,0.101967,0.402570
1860,0.182563,0.128279,0.648798
1870,0.245501,0.181041,0.745585
1880,0.110217,0.088976,0.409496
1890,0.077546,0.059528,0.274998
1900,0.086352,0.073167,0.310228
1910,0.173753,0.131227,0.630094
1920,0.177336,0.134445,0.576100
1930,0.259428,0.196327,0.856036
1940,0.148071,0.117102,0.587238
1950,0.210866,0.175421,0.692303
1960,0.129320,0.102294,0.488408
1970,0.249967,0.183281,0.731975
1980,0.127799,0.097132,0.456180
1990,0.209352,0.158572,0.724228
2000,0.071602,0.057241,0.430447
2010,0.171122,0.129807,0.715376
2020,0.120418,0.099452,0.484433
2030,0.167914,0.116931,0.502885
2040,0.135045,0.103191,0.414813
2050,0.176843,0.156960,0.549596
2060,0.202734,0.153335,0.635488
2070,0.183901,0.143669,0.587888
2080,0.212176,0.156686,0.713973
2090,0.211855,0.153862,0.839969
2100,0.214932,0.157591,0.726603
2110,0.096765,0.078552,0.355950
2120,0.081472,0.069270,0.297146
2130,0.092563,0.071522,0.336617
2140,0.073358,0.061690,0.334969
2150,0.133313,0.094188,0.502253
2160,0.151479,0.116531,0.493052
2170,0.329835,0.265221,0.891623
2180,0.092414,0.067424,0.305556
2190,0.170455,0.133369,0.684048
2200,0.096093,0.080641,0.516906
2210,0.096616,0.071860,0.413923
2220,0.142474,0.101700,0.456039
2230,0.267929,0.196426,0.817998
2240,0.426336,0.314519,1.104411
2250,0.113162,0.088240,0.482171
2260,0.110784,0.080816,0.355008
2270,0.207551,0.161043,0.621970
2280,0.067477,0.051362,0.274066
2290,0.168755,0.127912,0.559593
2300,0.212339,0.166358,0.595571
2310,0.130682,0.106018,0.415169
2320,0.165226,0.128250,0.625439
2330,0.103067,0.083435,0.511985
2340,0.105752,0.081724,0.420861
2350,0.081439,0.065998,0.290677
2360,0.070656,0.059429,0.338177
2370,0.081137,0.062704,0.349379
2380,0.129046,0.100741,0.490434
2390,0.085200,0.070051,0.388043
2400,0.128091,0.101489,0.524130
2410,0.173952,0.142486,0.569014
2420,0.116815,0.089988,0.387246
2430,0.268239,0.207964,0.879531
2440,0.093567,0.077786,0.330272
2450,0.198765,0.155543,0.606661
2460,0.110924,0.081775,0.357601
2470,0.224434,0.169529,0.740875
2480,0.145279,0.102173,0.468776
2490,0.068551,0.058574,0.368891
2500,0.223515,0.167777,0.683557
2510,0.131636,0.096067,0.416043
2520,0.246078,0.205879,0.708356
2530,0.123997,0.096863,0.436260
2540,0.173470,0.133642,0.592582
2550,0.103695,0.085945,0.343588
2560,0.103374,0.072399,0.445813
2570,0.123672,0.089100,0.430784
2580,0.155062,0.117072,0.488574
2590,0.067417,0.057482,0.353537
2600,0.144983,0.110685,0.589441
2610,0.252198,0.202288,0.837747
2620,0.169685,0.132884,0.631480
2630,0.100781,0.085180,0.389532
2640,0.099363,0.086604,0.386951
2650,0.092118,0.072228,0.330261
2660,0.114428,0.084427,0.324032
2670,0.108039,0.090655,0.349401
2680,0.110447,0.088289,0.445467
2690,0.227562,0.167287,0.759871
2700,0.225172,0.170557,0.659996
2710,0.136611,0.111079,0.498318
2720,0.138767,0.111866,0.537064
2730,0.577606,0.424753,1.399812
2740,0.076139,0.057533,0.294697
2750,0.139276,0.106575,0.461623
2760,0.202401,0.152232,0.585351
2770,0.275568,0.186874,0.780023
2780,0.086848,0.062332,0.336263
2790,0.118302,0.089711,0.378812
2800,0.124716,0.089002,0.386679
2810,0.151721,0.114327,0.543083
2820,0.140742,0.098224,0.450317
2830,0.136534,0.089814,0.592412
2840,0.107351,0.096588,0.429416
2850,0.129447,0.096945,0.391960
2860,0.103573,0.084381,0.356654
2870,0.081878,0.062815,0.290543
2880,0.177785,0.137262,0.583500
2890,0.109403,0.091703,0.372906
2900,0.153360,0.115455,0.537573
2910,0.144086,0.106065,0.531124
2920,0.104508,0.078046,0.427565
2930,0.160674,0.110434,0.474391
2940,0.202545,0.158449,0.696687
2950,0.098429,0.071220,0.349796
2960,0.110885,0.084593,0.404057
2970,0.115648,0.092745,0.379538
2980,0.123759,0.095561,0.407857
2990,0.189124,0.138753,0.648374
3000,0.271679,0.208147,0.741010
3010,0.074255,0.056041,0.362101
3020,0.141608,0.111561,0.459609
3030,0.122208,0.096137,0.486705
3040,0.074364,0.061089,0.304035
3050,0.090816,0.075309,0.354151
3060,0.098061,0.073252,0.445843
3070,0.040281,0.032627,0.129081
3080,0.059506,0.049248,0.254495
3090,0.135015,0.104318,0.403847
3100,0.094040,0.086546,0.391506
3110,0.131353,0.098123,0.431064
3120,0.075327,0.059437,0.310483
3130,0.090591,0.068343,0.315816
3140,0.126488,0.092749,0.404928
3150,0.064610,0.053904,0.281854
3160,0.222285,0.167983,0.644013
3170,0.133594,0.101709,0.389503
3180,0.109878,0.086961,0.426628
3190,0.085550,0.063871,0.303745
3200,0.148654,0.123384,0.496810
3210,0.124556,0.084540,0.367390
3220,0.068534,0.049142,0.325547
3230,0.134952,0.118973,0.508913
3240,0.064898,0.051094,0.246614
3250,0.064149,0.050788,0.221447
3260,0.098057,0.073792,0.370101
3270,0.318429,0.245090,0.819391
3280,0.069565,0.052388,0.244379
3290,0.308544,0.224172,0.783016
3300,0.165372,0.132792,0.513547
3310,0.098133,0.075510,0.313936
3320,0.062072,0.049815,0.213490
3330,0.194899,0.140892,0.551377
3340,0.101457,0.069961,0.428077
3350,0.170304,0.130812,0.579894
3360,0.115388,0.089332,0.524992
3370,0.130646,0.095234,0.522043
3380,0.055135,0.048041,0.227772
3390,0.085682,0.066340,0.294747
3400,0.157799,0.116627,0.477615
3410,0.096954,0.072417,0.303847
3420,0.113370,0.087537,0.376697
3430,0.114098,0.091036,0.483084
3440,0.054088,0.040947,0.249328
3450,0.083365,0.067685,0.319772
3460,0.092027,0.073597,0.289857
3470,0.148637,0.101151,0.491253
3480,0.104891,0.077939,0.339104
3490,0.114390,0.100266,0.382949
3500,0.156230,0.110900,0.521206
3510,0.080161,0.063416,0.317584
3520,0.106241,0.083384,0.425397
3530,0.078420,0.068201,0.264756
3540,0.123387,0.109317,0.400322
3550,0.233163,0.165845,0.703957
3560,0.138731,0.099343,0.491622
3570,0.056072,0.046678,0.204868
3580,0.137110,0.100886,0.427826
3590,0.135214,0.120047,0.628097
3600,0.132007,0.106965,0.452755
3610,0.095621,0.075375,0.345551
3620,0.182419,0.145676,0.602916
3630,0.117668,0.087643,0.426928
3640,0.058394,0.038155,0.257104
3650,0.155488,0.110827,0.472736
3660,0.116192,0.092831,0.458434
