iter,ce_loss,ds_loss,final_loss
10,0.044594,0.032584,0.737522
20,0.233547,0.245538,1.135222
30,0.067879,0.092849,0.742696
40,0.089923,0.109159,0.750079
50,0.164281,0.069820,0.579605
60,0.234589,0.122021,0.941266
70,0.316572,0.190211,1.009094
80,0.125031,0.097339,0.751935
90,0.105576,0.064657,0.591635
100,0.060041,0.046909,0.771550
110,0.010182,0.001431,0.020013
120,0.039610,0.024090,0.308988
130,0.038000,0.028807,0.262900
140,0.037561,0.027418,0.315336
150,0.036335,0.023578,0.616233
160,0.101141,0.069677,0.614524
170,0.001394,0.000970,0.004116
180,0.119734,0.099474,0.731386
190,0.011238,0.008300,0.631739
200,0.050616,0.033179,0.306516
210,0.044831,0.024946,0.335773
220,0.032214,0.020693,0.230704
230,0.030698,0.015004,0.590009
240,0.067785,0.048275,0.294554
250,0.067378,0.041931,0.365353
260,0.000202,0.000484,0.001190
270,0.033199,0.021967,0.208883
280,0.046047,0.037172,0.236036
290,0.048917,0.029274,0.253719
300,0.074976,0.044515,0.258043
310,0.000862,0.000884,0.003046
320,0.031044,0.019624,0.209854
330,0.025530,0.017200,0.182021
340,0.091580,0.074532,0.358171
350,0.039691,0.028300,0.248760
360,0.007907,0.004716,0.020930
370,0.193481,0.096867,0.803365
380,0.025404,0.020012,0.175164
390,0.018299,0.015227,0.691179
400,0.189516,0.137175,0.982813
410,0.035472,0.027695,0.197574
420,0.020844,0.016064,0.427545
430,0.009645,0.007974,0.145936
440,0.080729,0.062335,0.378546
450,0.047290,0.041427,0.178770
460,0.002183,0.001204,0.573296
470,0.035323,0.023544,0.150071
480,0.081370,0.056947,0.714153
490,0.170044,0.131887,0.490242
500,0.037142,0.025888,0.164741
510,0.005286,0.004293,0.015195
520,0.025723,0.020033,0.061449
530,0.078951,0.064373,0.385961
540,0.033730,0.021176,0.166223
550,0.019083,0.013343,0.132686
560,0.053454,0.040530,0.210381
570,0.137483,0.110680,0.457261
580,0.013360,0.008104,0.094528
590,0.013331,0.009762,0.105130
600,0.035939,0.030269,0.173418
610,0.060444,0.057507,0.297383
620,0.034026,0.029308,0.185563
630,0.002335,0.002245,0.075475
640,0.094151,0.101374,0.404249
650,0.052258,0.049246,0.229607
660,0.017578,0.013907,0.121576
670,0.011712,0.008342,0.106005
680,0.008580,0.006885,0.117931
690,0.050551,0.033799,0.152148
700,0.026261,0.019992,0.200809
710,0.007371,0.005139,0.224536
720,0.023534,0.014964,0.119228
730,0.062240,0.053170,0.280056
740,0.007162,0.003229,0.014220
750,0.000807,0.001135,0.042506
760,0.033754,0.021155,0.131573
770,0.032855,0.026096,0.223210
780,0.084555,0.063229,0.354051
790,0.005019,0.004313,0.124319
800,0.032062,0.015021,0.314990
810,0.075347,0.089436,0.356490
820,0.082635,0.063724,0.612672
830,0.090411,0.055675,0.440391
840,0.042016,0.029436,0.195164
850,0.014240,0.011702,0.100519
